,Borough,Neighborhood,ID,Name
0,Bronx,Wakefield,4edbac4e775bcc53fc0ed5f8,Hong Kong China King
1,Bronx,Wakefield,4c3de66616ca95215b17bc7f,Dragon Star Chinese Food
2,Bronx,Co-op City,4c66dcfaaebea593955a74d0,Chinese Buffet
3,Bronx,Fieldston,4f5543a7e4b0ac8e5378b9de,Broadway Chinese Kitchen
4,Manhattan,Marble Hill,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant
5,Bronx,Norwood,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant
6,Bronx,Norwood,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
7,Bronx,Williamsbridge,4dd1f83de4cd7f7178bf42bd,Chai Hwa Chinese Restaurant
8,Bronx,Williamsbridge,4e4df7a9bd4101d0d79f472f,China Wok
9,Bronx,Williamsbridge,4e4df7a8bd4101d0d79f4724,Boston Road China & Taco Grill
10,Bronx,Baychester,4c1a8bac8b3aa593a8c8955f,Dragon City
11,Bronx,Baychester,4cd1dfb17b6854812887c9f8,No. 1 Chinese Restaurant
12,Bronx,Baychester,4e4df7a7bd4101d0d79f46f2,Golden Star Garden
13,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant
14,Bronx,Pelham Parkway,4e4cf8c9bd413c4cc66da6c3,Hong Kong Restaurant
15,Bronx,Pelham Parkway,4c7dbf7f10916dcba78e2a96,Chef King
16,Bronx,City Island,4bfc652bf14fa593c1f5c9d4,City Island Chinese Resturant
17,Bronx,Bedford Park,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant
18,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
19,Bronx,Morris Heights,4ded52a2ae6052cbed0423a8,China Wang
20,Bronx,Fordham,566f33e7498e44c2501bda81,Panda Express
21,Bronx,High  Bridge,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant
22,Bronx,Melrose,4ce9aeae678aa093b7a0efea,Merry Land Buffet
23,Bronx,Melrose,4dab2c191e72c1ab9c0481bc,Good Taste Chinese Restaurant
24,Bronx,Port Morris,4df3e68688772e1f81559d14,Good Choice Chinese Restaurant
25,Bronx,Longwood,4dcab1f9c65bebb82f3ecbd3,Good Taste Chinese Food
26,Bronx,Longwood,4e93a2e0e5faf79bbd76977e,Chinese Fried Chicken
27,Bronx,Hunts Point,4b9442b6f964a520b97134e3,Happy Garden
28,Bronx,Soundview,4e6d29a0b0fb273d16817e6c,King Dragon Restaurant
29,Bronx,Soundview,4ba01296f964a5209f5737e3,Yummy Yummy Chinese Kitchen
30,Bronx,Country Club,4b5f3d97f964a52074af29e3,Lee Xing
31,Bronx,Country Club,4d42202033268cfaafb65501,Pearl Of China
32,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant
33,Bronx,Westchester Square,4bc210da4cdfc9b61d799521,Quality Chef
34,Bronx,Morris Park,4da9c2358154abafc29ba5d8,L & Y Wing Hing Chinese Restaurant
35,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant
36,Bronx,North Riverdale,4e4deeb2bd4101d0d79e849e,First Wok Ii
37,Bronx,Pelham Bay,4b5f3d97f964a52074af29e3,Lee Xing
38,Bronx,Schuylerville,4c054ae273a8c9b66a4197e0,China Wok
